PA,AG,SX,PP
Ang Mo Kio,30_to_34,Females,0
Ang Mo Kio,30_to_34,Females,0
Ang Mo Kio,35_to_39,Males,20
Ang Mo Kio,35_to_39,Males,360
Ang Mo Kio,35_to_39,Males,360
Ang Mo Kio,35_to_39,Males,130
Ang Mo Kio,35_to_39,Males,0
Ang Mo Kio,35_to_39,Males,0
Ang Mo Kio,35_to_39,Males,0
Ang Mo Kio,35_to_39,Males,10
Ang Mo Kio,35_to_39,Females,20
Ang Mo Kio,35_to_39,Females,410
Ang Mo Kio,35_to_39,Females,390
Ang Mo Kio,35_to_39,Females,180
Ang Mo Kio,35_to_39,Females,0
Ang Mo Kio,35_to_39,Females,0
Ang Mo Kio,35_to_39,Females,0
Ang Mo Kio,35_to_39,Females,0
Ang Mo Kio,40_to_44,Males,20
Ang Mo Kio,40_to_44,Males,440
Ang Mo Kio,40_to_44,Males,310
Ang Mo Kio,40_to_44,Males,200
Ang Mo Kio,40_to_44,Males,0
Ang Mo Kio,40_to_44,Males,0
Ang Mo Kio,40_to_44,Males,0
Ang Mo Kio,40_to_44,Males,0
Ang Mo Kio,40_to_44,Females,20
Ang Mo Kio,40_to_44,Females,520
Ang Mo Kio,40_to_44,Females,340
Ang Mo Kio,40_to_44,Females,230
Ang Mo Kio,40_to_44,Females,0
Ang Mo Kio,40_to_44,Females,0
Ang Mo Kio,40_to_44,Females,0
Ang Mo Kio,40_to_44,Females,0
Ang Mo Kio,45_to_49,Males,20
Ang Mo Kio,45_to_49,Males,430
Ang Mo Kio,45_to_49,Males,290
Ang Mo Kio,45_to_49,Males,190
Ang Mo Kio,45_to_49,Males,0
Ang Mo Kio,45_to_49,Males,0
Ang Mo Kio,45_to_49,Males,0
Ang Mo Kio,45_to_49,Males,0
Ang Mo Kio,45_to_49,Females,20
Ang Mo Kio,45_to_49,Females,510
Ang Mo Kio,45_to_49,Females,320
Ang Mo Kio,45_to_49,Females,210
Ang Mo Kio,45_to_49,Females,0
Ang Mo Kio,45_to_49,Females,0
Ang Mo Kio,45_to_49,Females,0
Ang Mo Kio,45_to_49,Females,0
Ang Mo Kio,50_to_54,Males,40
Ang Mo Kio,50_to_54,Males,540
Ang Mo Kio,50_to_54,Males,270
Ang Mo Kio,50_to_54,Males,160
Ang Mo Kio,50_to_54,Males,0
Ang Mo Kio,50_to_54,Males,0
Ang Mo Kio,50_to_54,Males,0
Ang Mo Kio,50_to_54,Males,0
Ang Mo Kio,50_to_54,Females,20
Ang Mo Kio,50_to_54,Females,530
Ang Mo Kio,50_to_54,Females,280
Ang Mo Kio,50_to_54,Females,160
Ang Mo Kio,50_to_54,Females,0
Ang Mo Kio,50_to_54,Females,0
Ang Mo Kio,50_to_54,Females,0
Ang Mo Kio,50_to_54,Females,0
Ang Mo Kio,55_to_59,Males,20
Ang Mo Kio,55_to_59,Males,550
Ang Mo Kio,55_to_59,Males,300
Ang Mo Kio,55_to_59,Males,150
Ang Mo Kio,55_to_59,Males,0
Ang Mo Kio,55_to_59,Males,0
Ang Mo Kio,55_to_59,Males,0
Ang Mo Kio,55_to_59,Males,10
Ang Mo Kio,55_to_59,Females,30
Ang Mo Kio,55_to_59,Females,600
Ang Mo Kio,55_to_59,Females,300
Ang Mo Kio,55_to_59,Females,160
Ang Mo Kio,55_to_59,Females,0
Ang Mo Kio,55_to_59,Females,0
Ang Mo Kio,55_to_59,Females,0
Ang Mo Kio,55_to_59,Females,0
Ang Mo Kio,60_to_64,Males,50
Ang Mo Kio,60_to_64,Males,530
Ang Mo Kio,60_to_64,Males,270
Ang Mo Kio,60_to_64,Males,140
Ang Mo Kio,60_to_64,Males,0
Ang Mo Kio,60_to_64,Males,0
Ang Mo Kio,60_to_64,Males,0
Ang Mo Kio,60_to_64,Males,0
Ang Mo Kio,60_to_64,Females,40
Ang Mo Kio,60_to_64,Females,570
Ang Mo Kio,60_to_64,Females,280
Ang Mo Kio,60_to_64,Females,130
Ang Mo Kio,60_to_64,Females,0
Ang Mo Kio,60_to_64,Females,0
Ang Mo Kio,60_to_64,Females,0
Ang Mo Kio,60_to_64,Females,0
Ang Mo Kio,65_to_69,Males,60
Ang Mo Kio,65_to_69,Males,450
Ang Mo Kio,65_to_69,Males,280
Ang Mo Kio,65_to_69,Males,130
Ang Mo Kio,65_to_69,Males,0
Ang Mo Kio,65_to_69,Males,0
Ang Mo Kio,65_to_69,Males,0
Ang Mo Kio,65_to_69,Males,0
Ang Mo Kio,65_to_69,Females,90
Ang Mo Kio,65_to_69,Females,640
Ang Mo Kio,65_to_69,Females,310
Ang Mo Kio,65_to_69,Females,170
Ang Mo Kio,65_to_69,Females,0
Ang Mo Kio,65_to_69,Females,0
Ang Mo Kio,65_to_69,Females,0
Ang Mo Kio,65_to_69,Females,10
Ang Mo Kio,70_to_74,Males,30
Ang Mo Kio,70_to_74,Males,430
Ang Mo Kio,70_to_74,Males,260
Ang Mo Kio,70_to_74,Males,140
Ang Mo Kio,70_to_74,Males,0
Ang Mo Kio,70_to_74,Males,0
Ang Mo Kio,70_to_74,Males,0
Ang Mo Kio,70_to_74,Males,10
Ang Mo Kio,70_to_74,Females,70
Ang Mo Kio,70_to_74,Females,570
Ang Mo Kio,70_to_74,Females,290
Ang Mo Kio,70_to_74,Females,120
Ang Mo Kio,70_to_74,Females,0
Ang Mo Kio,70_to_74,Females,0
Ang Mo Kio,70_to_74,Females,0
Ang Mo Kio,70_to_74,Females,0
Ang Mo Kio,75_to_79,Males,20
Ang Mo Kio,75_to_79,Males,280
Ang Mo Kio,75_to_79,Males,130
Ang Mo Kio,75_to_79,Males,70
Ang Mo Kio,75_to_79,Males,0
Ang Mo Kio,75_to_79,Males,0
Ang Mo Kio,75_to_79,Males,0
Ang Mo Kio,75_to_79,Males,0
Ang Mo Kio,75_to_79,Females,30
Ang Mo Kio,75_to_79,Females,340
Ang Mo Kio,75_to_79,Females,160
Ang Mo Kio,75_to_79,Females,70
Ang Mo Kio,75_to_79,Females,0
Ang Mo Kio,75_to_79,Females,0
Ang Mo Kio,75_to_79,Females,0
Ang Mo Kio,75_to_79,Females,0
Ang Mo Kio,80_to_84,Males,10
Ang Mo Kio,80_to_84,Males,170
Ang Mo Kio,80_to_84,Males,80
Ang Mo Kio,80_to_84,Males,40
Ang Mo Kio,80_to_84,Males,0
Ang Mo Kio,80_to_84,Males,0
Ang Mo Kio,80_to_84,Males,0
Ang Mo Kio,80_to_84,Males,0
Ang Mo Kio,80_to_84,Females,20
Ang Mo Kio,80_to_84,Females,230
Ang Mo Kio,80_to_84,Females,160
Ang Mo Kio,80_to_84,Females,50
Ang Mo Kio,80_to_84,Females,0
Ang Mo Kio,80_to_84,Females,0
Ang Mo Kio,80_to_84,Females,0
Ang Mo Kio,80_to_84,Females,0
Ang Mo Kio,85_to_89,Males,10
Ang Mo Kio,85_to_89,Males,90
Ang Mo Kio,85_to_89,Males,40
Ang Mo Kio,85_to_89,Males,20
Ang Mo Kio,85_to_89,Males,0
Ang Mo Kio,85_to_89,Males,0
Ang Mo Kio,85_to_89,Males,0
Ang Mo Kio,85_to_89,Males,0
Ang Mo Kio,85_to_89,Females,10
Ang Mo Kio,85_to_89,Females,90
Ang Mo Kio,85_to_89,Females,80
Ang Mo Kio,85_to_89,Females,30
Ang Mo Kio,85_to_89,Females,0
Ang Mo Kio,85_to_89,Females,0
Ang Mo Kio,85_to_89,Females,0
Ang Mo Kio,85_to_89,Females,0
Ang Mo Kio,90_and_over,Males,0
Ang Mo Kio,90_and_over,Males,30
Ang Mo Kio,90_and_over,Males,20
Ang Mo Kio,90_and_over,Males,0
Ang Mo Kio,90_and_over,Males,0
Ang Mo Kio,90_and_over,Males,0
Ang Mo Kio,90_and_over,Males,0
Ang Mo Kio,90_and_over,Males,0
Ang Mo Kio,90_and_over,Females,10
Ang Mo Kio,90_and_over,Females,60
Ang Mo Kio,90_and_over,Females,40
Ang Mo Kio,90_and_over,Females,20
Ang Mo Kio,90_and_over,Females,0
Ang Mo Kio,90_and_over,Females,0
