PA,SZ,Year,AGE0-4,AGE05-9,AGE10-14,AGE15-19,AGE20-24,AGE25-29,AGE30-34,AGE35-39,AGE40-44,AGE45-49,AGE50-54,AGE55-59,AGE60-64,AGE65-69,AGE70-74,AGE75-79,AGE80-84,AGE85over,YOUNG,ACTIVE,OLD,TOTAL
Pasir Ris,Loyang West,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,30,50,60,0,0,170,170
Pasir Ris,Pasir Ris Central,2018,1700,1530,1550,1990,2600,2440,2360,2280,2070,2280,2800,2540,1780,1080,640,430,280,220,9370,18550,2650,30570
Pasir Ris,Pasir Ris Drive,2018,1780,2190,2860,4110,5880,5260,2820,2930,3200,3850,5790,5380,3910,2640,1470,850,560,520,16820,33140,6040,56000
Pasir Ris,Pasir Ris Park,2018,470,600,470,500,400,390,520,820,820,710,630,380,210,140,100,60,20,20,2440,4480,340,7260
Pasir Ris,Pasir Ris West,2018,1310,1690,2120,2950,3660,2780,1830,2190,2580,3080,3930,3020,2020,1240,700,510,330,280,11730,21430,3060,36220
Punggol,Matilda,2018,5740,4360,2510,1940,1580,2630,6290,6980,4380,3050,2230,1800,1510,1310,770,470,230,170,16130,28870,2950,47950
Punggol,Northshore,2018,0,10,20,20,20,20,10,10,20,20,20,20,20,20,10,0,0,10,70,140,40,250
Punggol,Punggol Field,2018,2830,3660,3910,3170,2370,2450,3010,4610,5430,4550,3230,2750,2290,1690,1130,640,380,320,15940,28320,4160,48420
Punggol,Punggol Town Centre,2018,2410,1590,810,550,430,1010,2900,2710,1450,980,740,540,450,380,260,130,90,50,5790,10780,910,17480
Punggol,Waterway East,2018,5720,4230,2710,1910,1480,2750,6500,6720,4420,2890,2190,1690,1430,1220,780,460,230,180,16050,28590,2870,47510
Queenstown,Commonwealth,2018,230,230,300,310,310,480,430,510,520,600,620,590,570,470,380,380,280,250,1380,4320,1760,7460
Queenstown,Dover,2018,380,590,690,620,650,670,540,810,970,930,930,800,700,650,550,390,270,180,2930,6350,2040,11320
Queenstown,Ghim Moh,2018,750,610,530,550,650,860,1290,1030,890,910,840,810,830,850,770,640,440,320,3090,7460,3020,13570
Queenstown,Holland Drive,2018,430,360,440,520,600,820,790,850,1030,1090,1020,940,910,930,840,750,500,390,2350,7450,3410,13210
Queenstown,Kent Ridge,2018,20,30,60,30,40,70,50,40,70,70,80,70,70,60,40,30,10,0,180,520,140,840
Queenstown,Margaret Drive,2018,1290,1040,660,520,550,810,1560,1820,1360,960,820,780,710,730,470,380,310,260,4060,8820,2150,15030
Queenstown,Mei Chin,2018,480,590,750,850,980,1100,920,930,1090,1250,1320,1320,1220,930,630,630,450,400,3650,9150,3040,15840
Queenstown,National University Of S'pore,2018,0,10,20,10,70,40,20,20,20,10,20,10,0,0,0,0,0,0,110,140,0,250
Queenstown,One North,2018,30,60,40,20,20,30,50,80,100,90,50,40,20,10,10,0,0,0,170,460,20,650
Queenstown,Pasir Panjang 1,2018,180,210,230,260,260,330,290,360,410,390,360,310,280,200,150,90,50,50,1140,2730,540,4410
Queenstown,Pasir Panjang 2,2018,120,120,150,180,230,260,200,210,240,230,280,260,290,250,120,80,30,30,800,1970,510,3280
Queenstown,Port,2018,0,0,0,0,10,20,10,10,0,0,0,20,10,10,10,0,0,0,10,70,20,100
Queenstown,Queensway,2018,0,10,0,20,20,30,20,30,20,40,30,20,20,20,20,10,0,0,50,210,50,310
Queenstown,Singapore Polytechnic,2018,10,20,0,0,0,0,10,10,20,20,10,0,0,0,0,0,0,0,30,70,0,100
Queenstown,Tanglin Halt,2018,470,480,440,440,460,710,770,920,960,920,910,850,770,740,660,510,440,350,2290,6810,2700,11800
River Valley,Institution Hill,2018,240,240,210,140,130,180,240,400,430,350,230,170,160,160,100,60,40,30,960,2160,390,3510
River Valley,Leonie Hill,2018,110,150,180,140,140,150,160,250,300,370,260,180,150,120,90,40,20,30,720,1820,300,2840
River Valley,One Tree Hill,2018,80,90,90,110,110,90,110,130,140,190,190,150,130,100,80,60,40,40,480,1130,320,1930
